,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
142,2021-02-18,751.4213690123606,683.9344928967807,812.2190356795792,751.4213690123606,751.4213690123606,0.4026590766994875,0.4026590766994875,0.4026590766994875,0.4026590766994875,0.4026590766994875,0.4026590766994875,0.0,0.0,0.0,751.8240280890601
143,2021-02-19,750.095438411092,689.5629317700264,821.0512387077567,750.095438411092,750.095438411092,1.1590746377000922,1.1590746377000922,1.1590746377000922,1.1590746377000922,1.1590746377000922,1.1590746377000922,0.0,0.0,0.0,751.2545130487921
144,2021-02-22,746.1176466072859,681.8894735323958,810.5489475105546,746.1176466072859,746.1176466072859,-0.9272771077557573,-0.9272771077557573,-0.9272771077557573,-0.9272771077557573,-0.9272771077557573,-0.9272771077557573,0.0,0.0,0.0,745.1903694995301
145,2021-02-23,744.7917160060172,681.9655722157742,815.5792543374843,744.7917160060172,744.7917160060172,2.1363021495400254,2.1363021495400254,2.1363021495400254,2.1363021495400254,2.1363021495400254,2.1363021495400254,0.0,0.0,0.0,746.9280181555572
146,2021-02-24,743.4657854526924,684.81594995979,813.8870688886786,743.4657854526924,743.4657854526924,0.3623332739301701,0.3623332739301701,0.3623332739301701,0.3623332739301701,0.3623332739301701,0.3623332739301701,0.0,0.0,0.0,743.8281187266226
147,2021-02-25,742.1398548993674,676.065300001634,809.0934279883479,742.1398548993674,742.1398548993674,0.40265907669872103,0.40265907669872103,0.40265907669872103,0.40265907669872103,0.40265907669872103,0.40265907669872103,0.0,0.0,0.0,742.5425139760661
148,2021-02-26,740.8139243460427,674.8765786060593,808.4931117789058,740.8139243460427,740.8139243460427,1.1590746377007952,1.1590746377007952,1.1590746377007952,1.1590746377007952,1.1590746377007952,1.1590746377007952,0.0,0.0,0.0,741.9729989837434
149,2021-03-01,736.836132686068,669.1559072120315,801.6465063243547,736.8361326860681,736.8361326860681,-0.927277107766291,-0.927277107766291,-0.927277107766291,-0.927277107766291,-0.927277107766291,-0.927277107766291,0.0,0.0,0.0,735.9088555783018
150,2021-03-02,735.5102021327432,668.8630511354419,804.3309262962588,735.5102021327432,735.5102021327432,2.136302149539355,2.136302149539355,2.136302149539355,2.136302149539355,2.136302149539355,2.136302149539355,0.0,0.0,0.0,737.6465042822825
151,2021-03-03,734.1842715794182,670.8574095919353,799.9597366485549,734.1842715794182,734.1842715794182,0.36233327392549197,0.36233327392549197,0.36233327392549197,0.36233327392549197,0.36233327392549197,0.36233327392549197,0.0,0.0,0.0,734.5466048533438
152,2021-03-04,732.8583410260934,670.0136460555445,803.4692460496998,732.8583410260934,732.8583410260934,0.4026590767033958,0.4026590767033958,0.4026590767033958,0.4026590767033958,0.4026590767033958,0.4026590767033958,0.0,0.0,0.0,733.2610001027967
153,2021-03-05,731.5324104727687,669.6736654717673,799.5541916942847,731.5324104727687,731.5324104727687,1.1590746377037071,1.1590746377037071,1.1590746377037071,1.1590746377037071,1.1590746377037071,1.1590746377037071,0.0,0.0,0.0,732.6914851104724
154,2021-03-08,727.5546188285783,659.820380520789,791.8083058335312,727.5546188285783,727.5546188285783,-0.9272771077638791,-0.9272771077638791,-0.9272771077638791,-0.9272771077638791,-0.9272771077638791,-0.9272771077638791,0.0,0.0,0.0,726.6273417208145
155,2021-03-09,726.2286882805148,659.7477838159426,796.4120812613999,726.2286882805148,726.2286882805148,2.1363021495386847,2.1363021495386847,2.1363021495386847,2.1363021495386847,2.1363021495386847,2.1363021495386847,0.0,0.0,0.0,728.3649904300535
156,2021-03-10,724.9027577324514,659.7345083707859,792.5859109635734,724.9027577324514,724.9027577324514,0.36233327392576814,0.36233327392576814,0.36233327392576814,0.36233327392576814,0.36233327392576814,0.36233327392576814,0.0,0.0,0.0,725.2650910063771
